ticker,company_name,sector_name
AMZN,"Amazon.com, Inc.",consumer-discretionary
TSLA,"Tesla, Inc.",consumer-discretionary
HD,"The Home Depot, Inc.",consumer-discretionary
BABA,Alibaba Group Holding Limited,consumer-discretionary
TM,Toyota Motor Corporation,consumer-discretionary
MCD,McDonald's Corporation,consumer-discretionary
TJX,"The TJX Companies, Inc.",consumer-discretionary
PDD,PDD Holdings Inc.,consumer-discretionary
BKNG,Booking Holdings Inc.,consumer-discretionary
LOW,"Lowe's Companies, Inc.",consumer-discretionary
SBUX,Starbucks Corporation,consumer-discretionary
MAR,"Marriott International, Inc.",consumer-discretionary
MELI,"MercadoLibre, Inc.",consumer-discretionary
CVNA,Carvana Co.,consumer-discretionary
ABNB,"Airbnb, Inc.",consumer-discretionary
ORLY,"O'Reilly Automotive, Inc.",consumer-discretionary
DASH,"DoorDash, Inc.",consumer-discretionary
HLT,Hilton Worldwide Holdings Inc.,consumer-discretionary
ROST,"Ross Stores, Inc.",consumer-discretionary
GM,General Motors Company,consumer-discretionary
RCL,Royal Caribbean Cruises Ltd.,consumer-discretionary
NKE,"NIKE, Inc.",consumer-discretionary
RACE,Ferrari N.V.,consumer-discretionary
AZO,"AutoZone, Inc.",consumer-discretionary
SE,Sea Limited,consumer-discretionary
F,Ford Motor Company,consumer-discretionary
EBAY,eBay Inc.,consumer-discretionary
DHI,"D.R. Horton, Inc.",consumer-discretionary
YUM,"Yum! Brands, Inc.",consumer-discretionary
CMG,"Chipotle Mexican Grill, Inc.",consumer-discretionary
JD,"JD.com, Inc.",consumer-discretionary
CPNG,"Coupang, Inc.",consumer-discretionary
CCL,Carnival Corporation & plc,consumer-discretionary
LVS,Las Vegas Sands Corp.,consumer-discretionary
QSR,Restaurant Brands International Inc.,consumer-discretionary
VIK,Viking Holdings Ltd,consumer-discretionary
TCOM,Trip.com Group Limited,consumer-discretionary
HMC,"Honda Motor Co., Ltd.",consumer-discretionary
EXPE,"Expedia Group, Inc.",consumer-discretionary
TPR,"Tapestry, Inc.",consumer-discretionary
