ticker,company_name,sector_name
WMT,Walmart Inc.,consumer-staples
COST,Costco Wholesale Corporation,consumer-staples
PG,The Procter & Gamble Company,consumer-staples
KO,The Coca-Cola Company,consumer-staples
PM,Philip Morris International Inc.,consumer-staples
PEP,"PepsiCo, Inc.",consumer-staples
BUD,Anheuser-Busch InBev SA/NV,consumer-staples
BTI,British American Tobacco p.l.c.,consumer-staples
UL,Unilever PLC,consumer-staples
MO,"Altria Group, Inc.",consumer-staples
MNST,Monster Beverage Corporation,consumer-staples
MDLZ,"Mondelez International, Inc.",consumer-staples
CL,Colgate-Palmolive Company,consumer-staples
TGT,Target Corporation,consumer-staples
ABEV,Ambev S.A.,consumer-staples
DEO,Diageo plc,consumer-staples
CCEP,Coca-Cola Europacific Partners PLC,consumer-staples
KR,The Kroger Co.,consumer-staples
KDP,Keurig Dr Pepper Inc.,consumer-staples
HSY,The Hershey Company,consumer-staples
FMX,"Fomento EconÃ³mico Mexicano, S.A.B. de C.V.",consumer-staples
SYY,Sysco Corporation,consumer-staples
ADM,Archer-Daniels-Midland Company,consumer-staples
KVUE,Kenvue Inc.,consumer-staples
KMB,Kimberly-Clark Corporation,consumer-staples
EL,The EstÃ©e Lauder Companies Inc.,consumer-staples
STZ,"Constellation Brands, Inc.",consumer-staples
KHC,The Kraft Heinz Company,consumer-staples
DG,Dollar General Corporation,consumer-staples
BG,Bunge Global SA,consumer-staples
CHD,"Church & Dwight Co., Inc.",consumer-staples
TSN,"Tyson Foods, Inc.",consumer-staples
KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",consumer-staples
USFD,US Foods Holding Corp.,consumer-staples
DLTR,"Dollar Tree, Inc.",consumer-staples
GIS,"General Mills, Inc.",consumer-staples
JBS,JBS N.V.,consumer-staples
PFGC,Performance Food Group Company,consumer-staples
MKC,"McCormick & Company, Incorporated",consumer-staples
COKE,"Coca-Cola Consolidated, Inc.",consumer-staples
BF.A,Brown-Forman Corporation,consumer-staples
BF.B,Brown-Forman Corporation,consumer-staples
BJ,"BJ's Wholesale Club Holdings, Inc.",consumer-staples
HRL,Hormel Foods Corporation,consumer-staples
CLX,The Clorox Company,consumer-staples
SFD,"Smithfield Foods, Inc.",consumer-staples
SJM,The J. M. Smucker Company,consumer-staples
DAR,Darling Ingredients Inc.,consumer-staples
ACI,"Albertsons Companies, Inc.",consumer-staples
EDU,New Oriental Education & Technology Group Inc.,consumer-staples
CELH,"Celsius Holdings, Inc.",consumer-staples
MICC,The Magnum Ice Cream Company N.V.,consumer-staples
TAP,Molson Coors Beverage Company,consumer-staples
PPC,Pilgrim's Pride Corporation,consumer-staples
PRMB,Primo Brands Corporation,consumer-staples
INGR,Ingredion Incorporated,consumer-staples
CAG,"Conagra Brands, Inc.",consumer-staples
SFM,"Sprouts Farmers Market, Inc.",consumer-staples
TAL,TAL Education Group,consumer-staples
CPB,The Campbell's Company,consumer-staples
LW,"Lamb Weston Holdings, Inc.",consumer-staples
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",consumer-staples
GHC,Graham Holdings Company,consumer-staples
POST,"Post Holdings, Inc.",consumer-staples
PSMT,"PriceSmart, Inc.",consumer-staples
LOPE,"Grand Canyon Education, Inc.",consumer-staples
LAUR,"Laureate Education, Inc.",consumer-staples
TBBB,BBB Foods Inc.,consumer-staples
AKO.A,Embotelladora Andina S.A.,consumer-staples
AKO.B,Embotelladora Andina S.A.,consumer-staples
CVSA,Covista Inc.,consumer-staples
LRN,"Stride, Inc.",consumer-staples
ELF,"e.l.f. Beauty, Inc.",consumer-staples
