ticker,company_name,sector_name
XOM,Exxon Mobil Corporation,energy
CVX,Chevron Corporation,energy
SHEL,Shell plc,energy
TTE,TotalEnergies SE,energy
COP,ConocoPhillips,energy
PBR,PetrÃ³leo Brasileiro S.A. - Petrobras,energy
PBR.A,PetrÃ³leo Brasileiro S.A. - Petrobras,energy
BP,BP p.l.c.,energy
ENB,Enbridge Inc.,energy
CNQ,Canadian Natural Resources Limited,energy
EQNR,Equinor ASA,energy
WMB,"The Williams Companies, Inc.",energy
SLB,SLB N.V.,energy
EPD,Enterprise Products Partners L.P.,energy
E,Eni S.p.A.,energy
SU,Suncor Energy Inc.,energy
EOG,"EOG Resources, Inc.",energy
VLO,Valero Energy Corporation,energy
KMI,"Kinder Morgan, Inc.",energy
MPC,Marathon Petroleum Corporation,energy
BKR,Baker Hughes Company,energy
ET,Energy Transfer LP,energy
PSX,Phillips 66,energy
TRP,TC Energy Corporation,energy
IMO,Imperial Oil Limited,energy
OXY,Occidental Petroleum Corporation,energy
OKE,"ONEOK, Inc.",energy
FANG,"Diamondback Energy, Inc.",energy
MPLX,MPLX LP,energy
LNG,"Cheniere Energy, Inc.",energy
TRGP,Targa Resources Corp.,energy
CCJ,Cameco Corporation,energy
CVE,Cenovus Energy Inc.,energy
WDS,Woodside Energy Group Ltd,energy
EQT,EQT Corporation,energy
HAL,Halliburton Company,energy
TS,Tenaris S.A.,energy
CQP,"Cheniere Energy Partners, L.P.",energy
DVN,Devon Energy Corporation,energy
VG,"Venture Global, Inc.",energy
FTI,TechnipFMC plc,energy
TPL,Texas Pacific Land Corporation,energy
EC,Ecopetrol S.A.,energy
CTRA,Coterra Energy Inc.,energy
PBA,Pembina Pipeline Corporation,energy
EXE,Expand Energy Corporation,energy
YPF,YPF Sociedad AnÃ³nima,energy
PR,Permian Resources Corporation,energy
VNOM,"Viper Energy, Inc.",energy
OVV,Ovintiv Inc.,energy
WES,"Western Midstream Partners, LP",energy
PAA,"Plains All American Pipeline, L.P.",energy
DTM,"DT Midstream, Inc.",energy
APA,APA Corporation,energy
AR,Antero Resources Corporation,energy
DINO,HF Sinclair Corporation,energy
AM,Antero Midstream Corporation,energy
RRC,Range Resources Corporation,energy
SUN,Sunoco LP,energy
NFG,National Fuel Gas Company,energy
NXE,NexGen Energy Ltd.,energy
NE,Noble Corporation plc,energy
FRO,Frontline plc,energy
CHRD,Chord Energy Corporation,energy
KNTK,Kinetik Holdings Inc.,energy
WFRD,Weatherford International plc,energy
HESM,Hess Midstream LP,energy
VIST,"Vista Energy, S.A.B. de C.V.",energy
MTDR,Matador Resources Company,energy
RIG,Transocean Ltd.,energy
NOV,NOV Inc.,energy
UEC,Uranium Energy Corp.,energy
VAL,Valaris Limited,energy
SM,SM Energy Company,energy
SOBO,South Bow Corporation,energy
AROC,"Archrock, Inc.",energy
UGP,Ultrapar ParticipaÃ§Ãµes S.A.,energy
CRC,California Resources Corporation,energy
KGS,"Kodiak Gas Services, Inc.",energy
MUR,Murphy Oil Corporation,energy
