ticker,company_name,sector_name
CAT,Caterpillar Inc.,industrials
GE,GE Aerospace,industrials
GEV,GE Vernova Inc.,industrials
RTX,RTX Corporation,industrials
BA,The Boeing Company,industrials
ETN,Eaton Corporation plc,industrials
UNP,Union Pacific Corporation,industrials
DE,Deere & Company,industrials
HON,Honeywell International Inc.,industrials
PH,Parker-Hannifin Corporation,industrials
LMT,Lockheed Martin Corporation,industrials
VRT,Vertiv Holdings Co,industrials
TT,Trane Technologies plc,industrials
HWM,Howmet Aerospace Inc.,industrials
PWR,"Quanta Services, Inc.",industrials
FDX,FedEx Corporation,industrials
WM,"Waste Management, Inc.",industrials
CMI,Cummins Inc.,industrials
UPS,"United Parcel Service, Inc.",industrials
JCI,Johnson Controls International plc,industrials
GD,General Dynamics Corporation,industrials
CSX,CSX Corporation,industrials
NOC,Northrop Grumman Corporation,industrials
CP,Canadian Pacific Kansas City Limited,industrials
EMR,Emerson Electric Co.,industrials
ITW,Illinois Tool Works Inc.,industrials
MMM,3M Company,industrials
NSC,Norfolk Southern Corporation,industrials
CNI,Canadian National Railway Company,industrials
CTAS,Cintas Corporation,industrials
TDG,TransDigm Group Incorporated,industrials
BE,Bloom Energy Corporation,industrials
RSG,"Republic Services, Inc.",industrials
RELX,RELX PLC,industrials
PCAR,PACCAR Inc,industrials
LHX,"L3Harris Technologies, Inc.",industrials
FIX,"Comfort Systems USA, Inc.",industrials
URI,"United Rentals, Inc.",industrials
GWW,"W.W. Grainger, Inc.",industrials
AME,"AMETEK, Inc.",industrials
CARR,Carrier Global Corporation,industrials
FAST,Fastenal Company,industrials
FERG,Ferguson Enterprises Inc.,industrials
FER,Ferrovial SE,industrials
ODFL,"Old Dominion Freight Line, Inc.",industrials
RKLB,Rocket Lab Corporation,industrials
ROK,"Rockwell Automation, Inc.",industrials
WAB,Westinghouse Air Brake Technologies Corporation,industrials
DAL,"Delta Air Lines, Inc.",industrials
WCN,"Waste Connections, Inc.",industrials
TRI,Thomson Reuters Corporation,industrials
ESLT,Elbit Systems Ltd.,industrials
EME,"EMCOR Group, Inc.",industrials
HEI,HEICO Corporation,industrials
RYAAY,Ryanair Holdings plc,industrials
SYM,Symbotic Inc.,industrials
AXON,"Axon Enterprise, Inc.",industrials
CPRT,"Copart, Inc.",industrials
HEI.A,HEICO Corporation,industrials
IR,Ingersoll Rand Inc.,industrials
SUNB,"Sunbelt Rentals Holdings, Inc.",industrials
DOV,Dover Corporation,industrials
OTIS,Otis Worldwide Corporation,industrials
UAL,"United Airlines Holdings, Inc.",industrials
MTZ,"MasTec, Inc.",industrials
HUBB,Hubbell Incorporated,industrials
XYL,Xylem Inc.,industrials
XPO,"XPO, Inc.",industrials
CW,Curtiss-Wright Corporation,industrials
JBHT,"J.B. Hunt Transport Services, Inc.",industrials
VRSK,"Verisk Analytics, Inc.",industrials
NVT,nVent Electric plc,industrials
AER,AerCap Holdings N.V.,industrials
FTAI,FTAI Aviation Ltd.,industrials
CHRW,"C.H. Robinson Worldwide, Inc.",industrials
WWD,"Woodward, Inc.",industrials
CRS,Carpenter Technology Corporation,industrials
VLTO,Veralto Corporation,industrials
APG,APi Group Corporation,industrials
ATI,ATI Inc.,industrials
EFX,Equifax Inc.,industrials
BWXT,"BWX Technologies, Inc.",industrials
ZTO,ZTO Express (Cayman) Inc.,industrials
EXPD,"Expeditors International of Washington, Inc.",industrials
RBA,"RB Global, Inc.",industrials
SNA,Snap-on Incorporated,industrials
ITT,ITT Inc.,industrials
RBC,RBC Bearings Incorporated,industrials
GPN,Global Payments Inc.,industrials
LUV,Southwest Airlines Co.,industrials
ULS,UL Solutions Inc.,industrials
MAIR,Madison Air Solutions Corporation,industrials
LII,Lennox International Inc.,industrials
RTO,Rentokil Initial plc,industrials
WSO,"Watsco, Inc.",industrials
CLH,"Clean Harbors, Inc.",industrials
NDSN,Nordson Corporation,industrials
TXT,Textron Inc.,industrials
IEX,IDEX Corporation,industrials
MLI,"Mueller Industries, Inc.",industrials
MAS,Masco Corporation,industrials
WCC,"WESCO International, Inc.",industrials
J,Jacobs Solutions Inc.,industrials
GFL,GFL Environmental Inc.,industrials
STRL,"Sterling Infrastructure, Inc.",industrials
CSL,Carlisle Companies Incorporated,industrials
ARXS,"Arxis, Inc.",industrials
LECO,"Lincoln Electric Holdings, Inc.",industrials
HII,"Huntington Ingalls Industries, Inc.",industrials
QXO,"QXO, Inc.",industrials
AEIS,"Advanced Energy Industries, Inc.",industrials
RRX,Regal Rexnord Corporation,industrials
LTM,LATAM Airlines Group S.A.,industrials
PNR,Pentair plc,industrials
XE,"X-Energy, Inc.",industrials
GGG,Graco Inc.,industrials
PAC,"Grupo Aeroportuario del PacÃ­fico, S.A.B. de C.V.",industrials
GNRC,Generac Holdings Inc.,industrials
CNH,CNH Industrial N.V.,industrials
BLD,TopBuild Corp.,industrials
SWK,"Stanley Black & Decker, Inc.",industrials
PL,Planet Labs PBC,industrials
DY,"Dycom Industries, Inc.",industrials
IESC,"IES Holdings, Inc.",industrials
ARMK,Aramark,industrials
ALLE,Allegion plc,industrials
SAIA,"Saia, Inc.",industrials
WMS,"Advanced Drainage Systems, Inc.",industrials
KTOS,"Kratos Defense & Security Solutions, Inc.",industrials
TFII,TFI International Inc.,industrials
AIT,"Applied Industrial Technologies, Inc.",industrials
EMBJ,Embraer S.A.,industrials
FLS,Flowserve Corporation,industrials
SPXC,"SPX Technologies, Inc.",industrials
DRS,"Leonardo DRS, Inc.",industrials
KNX,Knight-Swift Transportation Holdings Inc.,industrials
ACM,AECOM,industrials
UHAL,U-Haul Holding Company,industrials
CR,Crane Company,industrials
STN,Stantec Inc.,industrials
DCI,"Donaldson Company, Inc.",industrials
OC,Owens Corning,industrials
WTS,"Watts Water Technologies, Inc.",industrials
GTLS,"Chart Industries, Inc.",industrials
MOG.B,Moog Inc.,industrials
VMI,"Valmont Industries, Inc.",industrials
MOG.A,Moog Inc.,industrials
AVAV,"AeroVironment, Inc.",industrials
CNM,"Core & Main, Inc.",industrials
R,"Ryder System, Inc.",industrials
BLDR,"Builders FirstSource, Inc.",industrials
OSK,Oshkosh Corporation,industrials
KRMN,Karman Holdings Inc.,industrials
POWL,"Powell Industries, Inc.",industrials
BAH,Booz Allen Hamilton Holding Corporation,industrials
TTC,The Toro Company,industrials
PRIM,Primoris Services Corporation,industrials
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",industrials
AOS,A. O. Smith Corporation,industrials
AGX,"Argan, Inc.",industrials
JOBY,"Joby Aviation, Inc.",industrials
LGN,Legence Corp.,industrials
ZWS,Zurn Elkay Water Solutions Corporation,industrials
AYI,Acuity Inc.,industrials
AGCO,AGCO Corporation,industrials
CAE,CAE Inc.,industrials
SARO,"StandardAero, Inc.",industrials
TTEK,"Tetra Tech, Inc.",industrials
KEX,Kirby Corporation,industrials
POOL,Pool Corporation,industrials
AAL,American Airlines Group Inc.,industrials
CMC,Commercial Metals Company,industrials
ENS,EnerSys,industrials
MWH,"SOLV Energy, Inc.",industrials
TKR,The Timken Company,industrials
AWI,"Armstrong World Industries, Inc.",industrials
FLR,Fluor Corporation,industrials
AAON,"AAON, Inc.",industrials
TEX,Terex Corporation,industrials
HXL,Hexcel Corporation,industrials
GATX,GATX Corporation,industrials
ECG,"Everus Construction Group, Inc.",industrials
BBUC,Brookfield Business Corporation,industrials
FSS,Federal Signal Corporation,industrials
JBTM,JBT Marel Corporation,industrials
MIDD,The Middleby Corporation,industrials
ROAD,"Construction Partners, Inc.",industrials
GXO,"GXO Logistics, Inc.",industrials
MSA,MSA Safety Incorporated,industrials
CAR,"Avis Budget Group, Inc.",industrials
GTES,Gates Industrial Corporation plc,industrials
SITE,"SiteOne Landscape Supply, Inc.",industrials
AMTM,"Amentum Holdings, Inc.",industrials
LSTR,"Landstar System, Inc.",industrials
REZI,"Resideo Technologies, Inc.",industrials
NPO,Enpro Inc.,industrials
ESAB,ESAB Corporation,industrials
DLB,"Dolby Laboratories, Inc.",industrials
EQPT,EquipmentShare.com Inc.,industrials
ACA,"Arcosa, Inc.",industrials
MSM,"MSC Industrial Direct Co., Inc.",industrials
ADT,ADT Inc.,industrials
SEB,Seaboard Corporation,industrials
FLY,Firefly Aerospace Inc.,industrials
GVA,Granite Construction Incorporated,industrials
SNDR,"Schneider National, Inc.",industrials
FCN,"FTI Consulting, Inc.",industrials
MATX,"Matson, Inc.",industrials
LUNR,"Intuitive Machines, Inc.",industrials
LOAR,Loar Holdings Inc.,industrials
LPX,Louisiana-Pacific Corporation,industrials
MYRG,MYR Group Inc.,industrials
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",industrials
FBIN,"Fortune Brands Innovations, Inc.",industrials
VSEC,VSE Corporation,industrials
CWST,"Casella Waste Systems, Inc.",industrials
CSW,"CSW Industrials, Inc.",industrials
CPA,"Copa Holdings, S.A.",industrials
PAM,Pampa EnergÃ­a S.A.,industrials
MIR,"Mirion Technologies, Inc.",industrials
UNF,UniFirst Corporation,industrials
MRCY,"Mercury Systems, Inc.",industrials
TPC,Tutor Perini Corporation,industrials
KBR,"KBR, Inc.",industrials
FELE,"Franklin Electric Co., Inc.",industrials
BCO,The Brink's Company,industrials
HRI,Herc Holdings Inc.,industrials
ALK,"Alaska Air Group, Inc.",industrials
MWA,"Mueller Water Products, Inc.",industrials
GPGI,"GPGI, Inc.",industrials
ACHR,Archer Aviation Inc.,industrials
HAFN,Hafnia Limited,industrials
MDA,MDA Space Ltd.,industrials
GFF,Griffon Corporation,industrials
AIR,AAR Corp.,industrials
TREX,"Trex Company, Inc.",industrials
AZZ,AZZ Inc.,industrials
PLUG,Plug Power Inc.,industrials
WSC,WillScot Holdings Corporation,industrials
CAAP,CorporaciÃ³n AmÃ©rica Airports S.A.,industrials
