ticker,company_name,sector_name,sub_sector_name
KHC,The Kraft Heinz Company,consumer-staples,packaged-foods
GIS,"General Mills, Inc.",consumer-staples,packaged-foods
JBS,JBS N.V.,consumer-staples,packaged-foods
HRL,Hormel Foods Corporation,consumer-staples,packaged-foods
MKC,"McCormick & Company, Incorporated",consumer-staples,packaged-foods
SJM,The J. M. Smucker Company,consumer-staples,packaged-foods
SFD,"Smithfield Foods, Inc.",consumer-staples,packaged-foods
MICC,The Magnum Ice Cream Company N.V.,consumer-staples,packaged-foods
DAR,Darling Ingredients Inc.,consumer-staples,packaged-foods
PPC,Pilgrim's Pride Corporation,consumer-staples,packaged-foods
CPB,The Campbell's Company,consumer-staples,packaged-foods
INGR,Ingredion Incorporated,consumer-staples,packaged-foods
CAG,"Conagra Brands, Inc.",consumer-staples,packaged-foods
LW,"Lamb Weston Holdings, Inc.",consumer-staples,packaged-foods
POST,"Post Holdings, Inc.",consumer-staples,packaged-foods
MZTI,The Marzetti Company,consumer-staples,packaged-foods
CENT,Central Garden & Pet Company,consumer-staples,packaged-foods
FRPT,"Freshpet, Inc.",consumer-staples,packaged-foods
CENTA,Central Garden & Pet Company,consumer-staples,packaged-foods
FLO,"Flowers Foods, Inc.",consumer-staples,packaged-foods
JJSF,J&J Snack Foods Corp.,consumer-staples,packaged-foods
NOMD,Nomad Foods Limited,consumer-staples,packaged-foods
HLF,Herbalife Ltd.,consumer-staples,packaged-foods
SMPL,The Simply Good Foods Company,consumer-staples,packaged-foods
BRBR,"BellRing Brands, Inc.",consumer-staples,packaged-foods
UTZ,"Utz Brands, Inc.",consumer-staples,packaged-foods
SENEA,Seneca Foods Corporation,consumer-staples,packaged-foods
JBSS,"John B. Sanfilippo & Son, Inc.",consumer-staples,packaged-foods
SENEB,Seneca Foods Corporation,consumer-staples,packaged-foods
WEST,Westrock Coffee Company,consumer-staples,packaged-foods
OFRM,"Once Upon A Farm, PBC",consumer-staples,packaged-foods
MAMA,"Mama's Creations, Inc.",consumer-staples,packaged-foods
BYND,"Beyond Meat, Inc.",consumer-staples,packaged-foods
LWAY,"Lifeway Foods, Inc.",consumer-staples,packaged-foods
NATR,"Nature's Sunshine Products, Inc.",consumer-staples,packaged-foods
USNA,"USANA Health Sciences, Inc.",consumer-staples,packaged-foods
BRCC,BRC Inc.,consumer-staples,packaged-foods
BGS,"B&G Foods, Inc.",consumer-staples,packaged-foods
ENHA,Enhanced Group Inc.,consumer-staples,packaged-foods
UCFI,CN Healthy Food Tech Group Corp.,consumer-staples,packaged-foods
OTLY,Oatly Group AB,consumer-staples,packaged-foods
LFVN,LifeVantage Corporation,consumer-staples,packaged-foods
FTLF,"FitLife Brands, Inc.",consumer-staples,packaged-foods
BHST,BioHarvest Sciences Inc.,consumer-staples,packaged-foods
CLNN,Clene Inc.,consumer-staples,packaged-foods
BRID,Bridgford Foods Corporation,consumer-staples,packaged-foods
HAIN,"The Hain Celestial Group, Inc.",consumer-staples,packaged-foods
BOF,BranchOut Food Inc.,consumer-staples,packaged-foods
DDC,DDC Enterprise Limited,consumer-staples,packaged-foods
SRXH,SRx Health Solutions Inc.,consumer-staples,packaged-foods
LSF,"Laird Superfood, Inc.",consumer-staples,packaged-foods
