ticker,company_name,sector_name,sub_sector_name
CBRE,"CBRE Group, Inc.",real-estate,real-estate-services
BEKE,KE Holdings Inc.,real-estate,real-estate-services
CSGP,"CoStar Group, Inc.",real-estate,real-estate-services
JLL,Jones Lang LaSalle Incorporated,real-estate,real-estate-services
FSV,FirstService Corporation,real-estate,real-estate-services
COMP,"Compass, Inc.",real-estate,real-estate-services
CIGI,Colliers International Group Inc.,real-estate,real-estate-services
OPEN,Opendoor Technologies Inc.,real-estate,real-estate-services
NMRK,"Newmark Group, Inc.",real-estate,real-estate-services
CWK,Cushman & Wakefield Limited,real-estate,real-estate-services
IHS,IHS Holding Limited,real-estate,real-estate-services
KW,"Kennedy-Wilson Holdings, Inc.",real-estate,real-estate-services
HBNB,Hotel101 Global Holdings Corp.,real-estate,real-estate-services
IRS,IRSA Inversiones y Representaciones Sociedad AnÃ³nima,real-estate,real-estate-services
MMI,"Marcus & Millichap, Inc.",real-estate,real-estate-services
AGNT,"eXp World Holdings, Inc.",real-estate,real-estate-services
RMR,The RMR Group Inc.,real-estate,real-estate-services
FRPH,"FRP Holdings, Inc.",real-estate,real-estate-services
REAX,The Real Brokerage Inc.,real-estate,real-estate-services
MLP,"Maui Land & Pineapple Company, Inc.",real-estate,real-estate-services
TCI,"Transcontinental Realty Investors, Inc.",real-estate,real-estate-services
RMAX,"RE/MAX Holdings, Inc.",real-estate,real-estate-services
SEG,Seaport Entertainment Group Inc.,real-estate,real-estate-services
ARL,"American Realty Investors, Inc.",real-estate,real-estate-services
NEN,New England Realty Associates Limited Partnership,real-estate,real-estate-services
CHCI,"Comstock Holding Companies, Inc.",real-estate,real-estate-services
DOUG,Douglas Elliman Inc.,real-estate,real-estate-services
SRG,Seritage Growth Properties,real-estate,real-estate-services
STHO,Star Holdings,real-estate,real-estate-services
MAYS,"J.W. Mays, Inc.",real-estate,real-estate-services
RFL,"Rafael Holdings, Inc.",real-estate,real-estate-services
ASPS,Altisource Portfolio Solutions S.A.,real-estate,real-estate-services
EUDA,EUDA Health Holdings Limited,real-estate,real-estate-services
DUO,Fangdd Network Group Ltd.,real-estate,real-estate-services
OPAD,Offerpad Solutions Inc.,real-estate,real-estate-services
MDRR,"Medalist Diversified, Inc.",real-estate,real-estate-services
NYC,American Strategic Investment Co.,real-estate,real-estate-services
FTHM,Fathom Holdings Inc.,real-estate,real-estate-services
OMH,Ohmyhome Limited,real-estate,real-estate-services
LHAI,Linkhome Holdings Inc.,real-estate,real-estate-services
GYRO,"Gyrodyne, LLC",real-estate,real-estate-services
AIRE,reAlpha Tech Corp.,real-estate,real-estate-services
GBR,"New Concept Energy, Inc.",real-estate,real-estate-services
ALBT,Avalon GloboCare Corp.,real-estate,real-estate-services
