ticker,company_name,sector_name,sub_sector_name
SAP,SAP SE,technology,software-application
CRM,"Salesforce, Inc.",technology,software-application
UBER,"Uber Technologies, Inc.",technology,software-application
SHOP,Shopify Inc.,technology,software-application
NOW,"ServiceNow, Inc.",technology,software-application
CDNS,"Cadence Design Systems, Inc.",technology,software-application
ADBE,Adobe Inc.,technology,software-application
ADP,"Automatic Data Processing, Inc.",technology,software-application
DDOG,"Datadog, Inc.",technology,software-application
SNOW,Snowflake Inc.,technology,software-application
INTU,Intuit Inc.,technology,software-application
ADSK,"Autodesk, Inc.",technology,software-application
MSTR,Strategy Inc,technology,software-application
PAYX,"Paychex, Inc.",technology,software-application
WDAY,"Workday, Inc.",technology,software-application
ROP,"Roper Technologies, Inc.",technology,software-application
ZM,"Zoom Communications, Inc.",technology,software-application
FISV,"Fiserv, Inc.",technology,software-application
FICO,Fair Isaac Corporation,technology,software-application
TEAM,Atlassian Corporation,technology,software-application
SSNC,"SS&C Technologies Holdings, Inc.",technology,software-application
PTC,PTC Inc.,technology,software-application
QNT,Quantinuum Inc.,technology,software-application
GRAB,Grab Holdings Limited,technology,software-application
TYL,"Tyler Technologies, Inc.",technology,software-application
U,Unity Software Inc.,technology,software-application
DT,"Dynatrace, Inc.",technology,software-application
FIG,"Figma, Inc.",technology,software-application
GWRE,"Guidewire Software, Inc.",technology,software-application
HUBS,"HubSpot, Inc.",technology,software-application
BSY,"Bentley Systems, Incorporated",technology,software-application
FROG,JFrog Ltd.,technology,software-application
DOCU,"DocuSign, Inc.",technology,software-application
YMM,Full Truck Alliance Co. Ltd.,technology,software-application
MANH,"Manhattan Associates, Inc.",technology,software-application
TTAN,"ServiceTitan, Inc.",technology,software-application
PCOR,"Procore Technologies, Inc.",technology,software-application
CWAN,"Clearwater Analytics Holdings, Inc.",technology,software-application
YOU,"Clear Secure, Inc.",technology,software-application
IDCC,"InterDigital, Inc.",technology,software-application
CHYM,"Chime Financial, Inc.",technology,software-application
DSGX,The Descartes Systems Group Inc.,technology,software-application
ESTC,Elastic N.V.,technology,software-application
PAYC,"Paycom Software, Inc.",technology,software-application
PCTY,Paylocity Holding Corporation,technology,software-application
APPF,"AppFolio, Inc.",technology,software-application
PEGA,Pegasystems Inc.,technology,software-application
OTEX,Open Text Corporation,technology,software-application
NAVN,"Navan, Inc.",technology,software-application
NICE,NICE Ltd.,technology,software-application
LYFT,"Lyft, Inc.",technology,software-application
DUOL,"Duolingo, Inc.",technology,software-application
CVLT,"Commvault Systems, Inc.",technology,software-application
KVYO,"Klaviyo, Inc.",technology,software-application
LFTO,"Liftoff Mobile, Inc.",technology,software-application
SRAD,Sportradar Group AG,technology,software-application
BTDR,Bitdeer Technologies Group,technology,software-application
LIF,"Life360, Inc.",technology,software-application
MNDY,monday.com Ltd.,technology,software-application
BILL,"BILL Holdings, Inc.",technology,software-application
RNG,"RingCentral, Inc.",technology,software-application
KC,Kingsoft Cloud Holdings Limited,technology,software-application
PTRN,Pattern Group Inc.,technology,software-application
DAVE,Dave Inc.,technology,software-application
NATL,NCR Atleos Corporation,technology,software-application
SOUN,"SoundHound AI, Inc.",technology,software-application
ADEA,Adeia Inc.,technology,software-application
PPLI,People Incorporated,technology,software-application
BULL,Webull Corporation,technology,software-application
QTWO,"Q2 Holdings, Inc.",technology,software-application
FSLY,"Fastly, Inc.",technology,software-application
DBD,"Diebold Nixdorf, Incorporated",technology,software-application
WK,Workiva Inc.,technology,software-application
CCC,CCC Intelligent Solutions Holdings Inc.,technology,software-application
FRSH,Freshworks Inc.,technology,software-application
BRZE,"Braze, Inc.",technology,software-application
AGYS,"Agilysys, Inc.",technology,software-application
ALRM,"Alarm.com Holdings, Inc.",technology,software-application
WRD,WeRide Inc.,technology,software-application
PDFS,"PDF Solutions, Inc.",technology,software-application
PLUS,ePlus inc.,technology,software-application
VERX,"Vertex, Inc.",technology,software-application
SPSC,"SPS Commerce, Inc.",technology,software-application
GRND,Grindr Inc.,technology,software-application
INTA,"Intapp, Inc.",technology,software-application
ASAN,"Asana, Inc.",technology,software-application
ALKT,"Alkami Technology, Inc.",technology,software-application
BL,"BlackLine, Inc.",technology,software-application
NCNO,"nCino, Inc.",technology,software-application
EVCM,EverCommerce Inc.,technology,software-application
WLTH,Wealthfront Corporation,technology,software-application
KARO,Karooooo Ltd.,technology,software-application
BLKB,"Blackbaud, Inc.",technology,software-application
LSPD,Lightspeed Commerce Inc.,technology,software-application
CXM,"Sprinklr, Inc.",technology,software-application
VIA,"Via Transportation, Inc.",technology,software-application
APPS,"Digital Turbine, Inc.",technology,software-application
UPBD,"Upbound Group, Inc.",technology,software-application
AMPL,"Amplitude, Inc.",technology,software-application
DFIN,"Donnelley Financial Solutions, Inc.",technology,software-application
GTM,ZoomInfo Technologies Inc.,technology,software-application
YALA,Yalla Group Limited,technology,software-application
DSP,Viant Technology Inc.,technology,software-application
IBTA,"Ibotta, Inc.",technology,software-application
RDVT,"Red Violet, Inc.",technology,software-application
DJCO,Daily Journal Corporation,technology,software-application
PD,"PagerDuty, Inc.",technology,software-application
MNTN,"MNTN, Inc.",technology,software-application
RSKD,Riskified Ltd.,technology,software-application
YB,Yuanbao Inc.,technology,software-application
MITK,"Mitek Systems, Inc.",technology,software-application
VTEX,VTEX,technology,software-application
PAR,PAR Technology Corporation,technology,software-application
PUBM,"PubMatic, Inc.",technology,software-application
HKD,AMTD Digital Inc.,technology,software-application
RBBN,Ribbon Communications Inc.,technology,software-application
CRNC,Cerence Inc.,technology,software-application
OOMA,"Ooma, Inc.",technology,software-application
DCBO,Docebo Inc.,technology,software-application
SPT,"Sprout Social, Inc.",technology,software-application
GLOO,"Gloo Holdings, Inc.",technology,software-application
API,"Agora, Inc.",technology,software-application
BLND,"Blend Labs, Inc.",technology,software-application
RMNI,"Rimini Street, Inc.",technology,software-application
MTLS,Materialise NV,technology,software-application
ALIT,"Alight, Inc.",technology,software-application
SVCO,"Silvaco Group, Inc.",technology,software-application
XPER,Xperi Inc.,technology,software-application
CURR,CURRENC Group Inc.,technology,software-application
SMWB,Similarweb Ltd.,technology,software-application
MTC,"MMTec, Inc.",technology,software-application
DUOT,"Duos Technologies Group, Inc.",technology,software-application
PLTS,Platinum Analytics Cayman Limited,technology,software-application
DMRC,Digimarc Corporation,technology,software-application
AZ,A2Z Cust2Mate Solutions Corp.,technology,software-application
EGHT,"8x8, Inc.",technology,software-application
ASUR,"Asure Software, Inc.",technology,software-application
LAW,"CS Disco, Inc.",technology,software-application
BZAI,"Blaize Holdings, Inc.",technology,software-application
CMRC,"Commerce.com, Inc.",technology,software-application
SMRT,"SmartRent, Inc.",technology,software-application
IMMR,Immersion Corporation,technology,software-application
KLTR,"Kaltura, Inc.",technology,software-application
EGAN,eGain Corporation,technology,software-application
TRAK,"ReposiTrak, Inc.",technology,software-application
TONX,TON Strategy Company,technology,software-application
PERF,Perfect Corp.,technology,software-application
THRY,"Thryv Holdings, Inc.",technology,software-application
NRDY,Nerdy Inc.,technology,software-application
MRT,"Marti Technologies, Inc.",technology,software-application
DOMO,"Domo, Inc.",technology,software-application
RDZN,"Roadzen, Inc.",technology,software-application
RYDE,Ryde Group Ltd,technology,software-application
DHX,"DHI Group, Inc.",technology,software-application
NTCL,NetClass Technology Inc,technology,software-application
NXTT,Next Technology Holding Inc.,technology,software-application
SCOR,"comScore, Inc.",technology,software-application
AIB,"BlockchAIn Digital Infrastructure, Inc.",technology,software-application
EXFY,"Expensify, Inc.",technology,software-application
SSTI,"SoundThinking, Inc.",technology,software-application
ROC,Rank One Computing Corporation,technology,software-application
BVC,BitVentures Limited,technology,software-application
AEYE,"AudioEye, Inc.",technology,software-application
IDN,"Intellicheck, Inc.",technology,software-application
LGCL,Lucas GC Limited,technology,software-application
FRMM,"Forum Markets, Incorporated",technology,software-application
RSSS,"Research Solutions, Inc.",technology,software-application
HIT,"Health In Tech, Inc.",technology,software-application
RTB,"RTB Digital, Inc.",technology,software-application
VIDA,VIDA Global Inc.,technology,software-application
NTWK,"NetSol Technologies, Inc.",technology,software-application
ILLR,Triller Group Inc.,technology,software-application
