ticker,company_name,sector_name,sub_sector_name
NEE,"NextEra Energy, Inc.",utilities,utilities-regulated-electric
SO,The Southern Company,utilities,utilities-regulated-electric
SOMN,The Southern Company,utilities,utilities-regulated-electric
DUK,Duke Energy Corporation,utilities,utilities-regulated-electric
NGG,National Grid plc,utilities,utilities-regulated-electric
AEP,"American Electric Power Company, Inc.",utilities,utilities-regulated-electric
D,"Dominion Energy, Inc.",utilities,utilities-regulated-electric
ETR,Entergy Corporation,utilities,utilities-regulated-electric
XEL,Xcel Energy Inc.,utilities,utilities-regulated-electric
EXC,Exelon Corporation,utilities,utilities-regulated-electric
PEG,Public Service Enterprise Group Incorporated,utilities,utilities-regulated-electric
ED,"Consolidated Edison, Inc.",utilities,utilities-regulated-electric
PCG,PG&E Corporation,utilities,utilities-regulated-electric
WEC,"WEC Energy Group, Inc.",utilities,utilities-regulated-electric
DTE,DTE Energy Company,utilities,utilities-regulated-electric
AEE,Ameren Corporation,utilities,utilities-regulated-electric
FTS,Fortis Inc.,utilities,utilities-regulated-electric
EIX,Edison International,utilities,utilities-regulated-electric
CNP,"CenterPoint Energy, Inc.",utilities,utilities-regulated-electric
PPL,PPL Corporation,utilities,utilities-regulated-electric
FE,FirstEnergy Corp.,utilities,utilities-regulated-electric
ES,Eversource Energy,utilities,utilities-regulated-electric
CMS,CMS Energy Corporation,utilities,utilities-regulated-electric
EVRG,"Evergy, Inc.",utilities,utilities-regulated-electric
LNT,Alliant Energy Corporation,utilities,utilities-regulated-electric
EMA,Emera Incorporated,utilities,utilities-regulated-electric
KEP,Korea Electric Power Corporation,utilities,utilities-regulated-electric
PNW,Pinnacle West Capital Corporation,utilities,utilities-regulated-electric
OGE,OGE Energy Corp.,utilities,utilities-regulated-electric
ELPC,Companhia Paranaense de Energia - COPEL,utilities,utilities-regulated-electric
IDA,"IDACORP, Inc.",utilities,utilities-regulated-electric
CIG,Companhia EnergÃ©tica de Minas Gerais - CEMIG,utilities,utilities-regulated-electric
CIG.C,Companhia EnergÃ©tica de Minas Gerais - CEMIG,utilities,utilities-regulated-electric
TXNM,"TXNM Energy, Inc.",utilities,utilities-regulated-electric
POR,Portland General Electric Company,utilities,utilities-regulated-electric
ENIC,Enel Chile S.A.,utilities,utilities-regulated-electric
NWE,"NorthWestern Energy Group, Inc.",utilities,utilities-regulated-electric
MGEE,"MGE Energy, Inc.",utilities,utilities-regulated-electric
HE,"Hawaiian Electric Industries, Inc.",utilities,utilities-regulated-electric
CEPU,Central Puerto S.A.,utilities,utilities-regulated-electric
EDN,Empresa Distribuidora y Comercializadora Norte Sociedad AnÃ³nima,utilities,utilities-regulated-electric
IMSR,Terrestrial Energy Inc.,utilities,utilities-regulated-electric
NKLR,Terra Innovatum Global N.V.,utilities,utilities-regulated-electric
GNE,Genie Energy Ltd.,utilities,utilities-regulated-electric
AXIA,AXIA Energia SA,utilities,utilities-renewable
BEP,Brookfield Renewable Partners L.P.,utilities,utilities-renewable
BEPC,Brookfield Renewable Corporation,utilities,utilities-renewable
ENLT,Enlight Renewable Energy Ltd,utilities,utilities-renewable
ORA,"Ormat Technologies, Inc.",utilities,utilities-renewable
CWEN,"Clearway Energy, Inc.",utilities,utilities-renewable
MWH,"SOLV Energy, Inc.",utilities,utilities-renewable
FLNC,"Fluence Energy, Inc.",utilities,utilities-renewable
