ticker,company_name,sector_name
NEE,"NextEra Energy, Inc.",utilities
CEG,Constellation Energy Corporation,utilities
SO,The Southern Company,utilities
SOMN,The Southern Company,utilities
DUK,Duke Energy Corporation,utilities
NGG,National Grid plc,utilities
AEP,"American Electric Power Company, Inc.",utilities
SRE,Sempra,utilities
D,"Dominion Energy, Inc.",utilities
VST,Vistra Corp.,utilities
ETR,Entergy Corporation,utilities
XEL,Xcel Energy Inc.,utilities
EXC,Exelon Corporation,utilities
ED,"Consolidated Edison, Inc.",utilities
PEG,Public Service Enterprise Group Incorporated,utilities
WEC,"WEC Energy Group, Inc.",utilities
AXIA,AXIA Energia SA,utilities
PCG,PG&E Corporation,utilities
NRG,"NRG Energy, Inc.",utilities
AEE,Ameren Corporation,utilities
ATO,Atmos Energy Corporation,utilities
DTE,DTE Energy Company,utilities
PPL,PPL Corporation,utilities
FTS,Fortis Inc.,utilities
FE,FirstEnergy Corp.,utilities
CNP,"CenterPoint Energy, Inc.",utilities
EIX,Edison International,utilities
AWK,"American Water Works Company, Inc.",utilities
ES,Eversource Energy,utilities
SBS,Companhia de Saneamento BÃ¡sico do Estado de SÃ£o Paulo - SABESP,utilities
CMS,CMS Energy Corporation,utilities
NI,NiSource Inc.,utilities
BEP,Brookfield Renewable Partners L.P.,utilities
KEP,Korea Electric Power Corporation,utilities
EVRG,"Evergy, Inc.",utilities
LNT,Alliant Energy Corporation,utilities
BIP,Brookfield Infrastructure Partners L.P.,utilities
TLN,Talen Energy Corporation,utilities
EMA,Emera Incorporated,utilities
BEPC,Brookfield Renewable Corporation,utilities
ENLT,Enlight Renewable Energy Ltd,utilities
PNW,Pinnacle West Capital Corporation,utilities
OKLO,Oklo Inc.,utilities
WTRG,"Essential Utilities, Inc.",utilities
AES,The AES Corporation,utilities
OGE,OGE Energy Corp.,utilities
ELPC,Companhia Paranaense de Energia - COPEL,utilities
UGI,UGI Corporation,utilities
IDA,"IDACORP, Inc.",utilities
CIG,Companhia EnergÃ©tica de Minas Gerais - CEMIG,utilities
CIG.C,Companhia EnergÃ©tica de Minas Gerais - CEMIG,utilities
ORA,"Ormat Technologies, Inc.",utilities
SWX,"Southwest Gas Holdings, Inc.",utilities
TXNM,"TXNM Energy, Inc.",utilities
ENIC,Enel Chile S.A.,utilities
POR,Portland General Electric Company,utilities
BKH,Black Hills Corporation,utilities
NJR,New Jersey Resources Corporation,utilities
OGS,"ONE Gas, Inc.",utilities
SR,Spire Inc.,utilities
CWEN,"Clearway Energy, Inc.",utilities
BIPC,Brookfield Infrastructure Corporation,utilities
AQN,Algonquin Power & Utilities Corp.,utilities
KEN,Kenon Holdings Ltd.,utilities
MDU,"MDU Resources Group, Inc.",utilities
NWE,"NorthWestern Energy Group, Inc.",utilities
TAC,TransAlta Corporation,utilities
CTRI,"Centuri Holdings, Inc.",utilities
AVA,Avista Corporation,utilities
AWR,American States Water Company,utilities
CPK,Chesapeake Utilities Corporation,utilities
MGEE,"MGE Energy, Inc.",utilities
CWT,California Water Service Group,utilities
HE,"Hawaiian Electric Industries, Inc.",utilities
HTO,H2O America,utilities
CEPU,Central Puerto S.A.,utilities
FLNC,"Fluence Energy, Inc.",utilities
NWN,Northwest Natural Holding Company,utilities
RNW,ReNew Energy Global Plc,utilities
SPH,"Suburban Propane Partners, L.P.",utilities
EDN,Empresa Distribuidora y Comercializadora Norte Sociedad AnÃ³nima,utilities
MSEX,Middlesex Water Company,utilities
XIFR,"XPLR Infrastructure, LP",utilities
UTL,Unitil Corporation,utilities
IMSR,Terrestrial Energy Inc.,utilities
NRGV,"Energy Vault Holdings, Inc.",utilities
NKLR,Terra Innovatum Global N.V.,utilities
CWCO,Consolidated Water Co. Ltd.,utilities
YORW,The York Water Company,utilities
OPAL,OPAL Fuels Inc.,utilities
GNE,Genie Energy Ltd.,utilities
CDZI,Cadiz Inc.,utilities
ELLO,Ellomay Capital Ltd.,utilities
ARTNA,Artesian Resources Corporation,utilities
PCYO,Pure Cycle Corporation,utilities
DGXX,Digi Power X Inc.,utilities
RGCO,"RGC Resources, Inc.",utilities
GWRS,"Global Water Resources, Inc.",utilities
SAFX,"XCF Global, Inc.",utilities
STEM,"Stem, Inc.",utilities
VGAS,"Verde Clean Fuels, Inc.",utilities
NXXT,"NextNRG, Inc.",utilities
AGIG,Abundia Global Impact Group Inc.,utilities
WAVE,Eco Wave Power Global AB (publ),utilities
SUUN,PowerBank Corporation,utilities
CREG,Smart Powerr Corp.,utilities
BESS,Bimergen Energy Corporation,utilities
HTOO,Fusion Fuel Green PLC,utilities
BNRG,Brenmiller Energy Ltd,utilities
