ATVI,Activision Blizzard,Communication Services
GOOGL,Alphabet (Class A),Communication Services
GOOG,Alphabet (Class C),Communication Services
T,AT&T,Communication Services
CHTR,Charter Communications,Communication Services
CMCSA,Comcast,Communication Services
DISCA,Discovery (Series A),Communication Services
DISCK,Discovery (Series C),Communication Services
DISH,Dish Network,Communication Services
EA,Electronic Arts,Communication Services
FB,Facebook,Communication Services
FOXA,Fox Corporation (Class A),Communication Services
FOX,Fox Corporation (Class B),Communication Services
IPG,Interpublic Group,Communication Services
LYV,Live Nation Entertainment,Communication Services
LUMN,Lumen Technologies,Communication Services
NFLX,Netflix,Communication Services
NWSA,News Corp (Class A),Communication Services
NWS,News Corp (Class B),Communication Services
OMC,Omnicom Group,Communication Services
TTWO,Take-Two Interactive,Communication Services
DIS,The Walt Disney Company,Communication Services
TMUS,T-Mobile US,Communication Services
TWTR,Twitter,Communication Services
VZ,Verizon Communications,Communication Services
VIAC,ViacomCBS,Communication Services
AAP,Advance Auto Parts,Consumer Discretionary
AMZN,Amazon,Consumer Discretionary
APTV,Aptiv,Consumer Discretionary
AZO,AutoZone,Consumer Discretionary
BBWI,Bath & Body Works Inc.,Consumer Discretionary
BBY,Best Buy,Consumer Discretionary
BKNG,Booking Holdings,Consumer Discretionary
BWA,BorgWarner,Consumer Discretionary
CZR,Caesars Entertainment,Consumer Discretionary
KMX,CarMax,Consumer Discretionary
CCL,Carnival Corporation,Consumer Discretionary
CMG,Chipotle Mexican Grill,Consumer Discretionary
DHI,D. R. Horton,Consumer Discretionary
DRI,Darden Restaurants,Consumer Discretionary
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
DPZ,Domino's Pizza,Consumer Discretionary
EBAY,eBay,Consumer Discretionary
ETSY,Etsy,Consumer Discretionary
EXPE,Expedia Group,Consumer Discretionary
F,Ford,Consumer Discretionary
GPS,Gap,Consumer Discretionary
GRMN,Garmin,Consumer Discretionary
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts,Consumer Discretionary
HBI,Hanesbrands,Consumer Discretionary
HAS,Hasbro,Consumer Discretionary
HLT,Hilton Worldwide,Consumer Discretionary
HD,Home Depot,Consumer Discretionary
LVS,Las Vegas Sands,Consumer Discretionary
LEG,Leggett & Platt,Consumer Discretionary
LEN,Lennar,Consumer Discretionary
