ticker,company_name,sector_name,sub_sector_name
ORLY,"O'Reilly Automotive, Inc.",consumer-discretionary,auto-parts
AZO,"AutoZone, Inc.",consumer-discretionary,auto-parts
MGA,Magna International Inc.,consumer-discretionary,auto-parts
BWA,BorgWarner Inc.,consumer-discretionary,auto-parts
MOD,Modine Manufacturing Company,consumer-discretionary,auto-parts
APTV,Aptiv PLC,consumer-discretionary,auto-parts
GPC,Genuine Parts Company,consumer-discretionary,auto-parts
AUR,"Aurora Innovation, Inc.",consumer-discretionary,auto-parts
ALSN,"Allison Transmission Holdings, Inc.",consumer-discretionary,auto-parts
ALV,"Autoliv, Inc.",consumer-discretionary,auto-parts
MBLY,Mobileye Global Inc.,consumer-discretionary,auto-parts
LEA,Lear Corporation,consumer-discretionary,auto-parts
LKQ,LKQ Corporation,consumer-discretionary,auto-parts
GTX,Garrett Motion Inc.,consumer-discretionary,auto-parts
GNTX,Gentex Corporation,consumer-discretionary,auto-parts
QS,QuantumScape Corporation,consumer-discretionary,auto-parts
DAN,Dana Incorporated,consumer-discretionary,auto-parts
DORM,"Dorman Products, Inc.",consumer-discretionary,auto-parts
ATMU,Atmus Filtration Technologies Inc.,consumer-discretionary,auto-parts
AAP,"Advance Auto Parts, Inc.",consumer-discretionary,auto-parts
VGNT,Versigent PLC,consumer-discretionary,auto-parts
VC,Visteon Corporation,consumer-discretionary,auto-parts
PHIN,PHINIA Inc.,consumer-discretionary,auto-parts
HSAI,Hesai Group,consumer-discretionary,auto-parts
ADNT,Adient plc,consumer-discretionary,auto-parts
GT,The Goodyear Tire & Rubber Company,consumer-discretionary,auto-parts
DCH,Dauch Corporation,consumer-discretionary,auto-parts
HYLN,Hyliion Holdings Corp.,consumer-discretionary,auto-parts
XPEL,"XPEL, Inc.",consumer-discretionary,auto-parts
THRM,Gentherm Incorporated,consumer-discretionary,auto-parts
PLOW,"Douglas Dynamics, Inc.",consumer-discretionary,auto-parts
SMP,"Standard Motor Products, Inc.",consumer-discretionary,auto-parts
FOXF,Fox Factory Holding Corp.,consumer-discretionary,auto-parts
SLDP,"Solid Power, Inc.",consumer-discretionary,auto-parts
MLR,"Miller Industries, Inc.",consumer-discretionary,auto-parts
CPS,Cooper-Standard Holdings Inc.,consumer-discretionary,auto-parts
ECX,ECARX Holdings Inc.,consumer-discretionary,auto-parts
MNRO,"Monro, Inc.",consumer-discretionary,auto-parts
SES,SES AI Corporation,consumer-discretionary,auto-parts
MVST,"Microvast Holdings, Inc.",consumer-discretionary,auto-parts
STRT,Strattec Security Corporation,consumer-discretionary,auto-parts
HLLY,Holley Inc.,consumer-discretionary,auto-parts
MPAA,"Motorcar Parts of America, Inc.",consumer-discretionary,auto-parts
SRI,"Stoneridge, Inc.",consumer-discretionary,auto-parts
CVGI,"Commercial Vehicle Group, Inc.",consumer-discretionary,auto-parts
INVZ,Innoviz Technologies Ltd.,consumer-discretionary,auto-parts
CAAS,"China Automotive Systems, Inc.",consumer-discretionary,auto-parts
SYPR,"Sypris Solutions, Inc.",consumer-discretionary,auto-parts
PRTS,"CarParts.com, Inc.",consumer-discretionary,auto-parts
MKDW,MKDWELL Tech Inc.,consumer-discretionary,auto-parts
WPRT,Westport Fuel Systems Inc.,consumer-discretionary,auto-parts
GTEC,Greenland Technologies Holding Corporation,consumer-discretionary,auto-parts
REE,REE Automotive Ltd.,consumer-discretionary,auto-parts
INEO,INNEOVA Holdings Limited,consumer-discretionary,auto-parts
WKSP,Worksport Ltd.,consumer-discretionary,auto-parts
FRSX,Foresight Autonomous Holdings Ltd.,consumer-discretionary,auto-parts
MCD,McDonald's Corporation,consumer-discretionary,restaurants
SBUX,Starbucks Corporation,consumer-discretionary,restaurants
YUM,"Yum! Brands, Inc.",consumer-discretionary,restaurants
CMG,"Chipotle Mexican Grill, Inc.",consumer-discretionary,restaurants
QSR,Restaurant Brands International Inc.,consumer-discretionary,restaurants
DRI,"Darden Restaurants, Inc.",consumer-discretionary,restaurants
YUMC,"Yum China Holdings, Inc.",consumer-discretionary,restaurants
TXRH,"Texas Roadhouse, Inc.",consumer-discretionary,restaurants
DPZ,"Domino's Pizza, Inc.",consumer-discretionary,restaurants
BROS,Dutch Bros Inc.,consumer-discretionary,restaurants
CAVA,"CAVA Group, Inc.",consumer-discretionary,restaurants
EAT,"Brinker International, Inc.",consumer-discretionary,restaurants
WING,Wingstop Inc.,consumer-discretionary,restaurants
CAKE,The Cheesecake Factory Incorporated,consumer-discretionary,restaurants
SHAK,Shake Shack Inc.,consumer-discretionary,restaurants
CHA,Chagee Holdings Limited,consumer-discretionary,restaurants
ARCO,Arcos Dorados Holdings Inc.,consumer-discretionary,restaurants
WEN,The Wendy's Company,consumer-discretionary,restaurants
PZZA,"Papa John's International, Inc.",consumer-discretionary,restaurants
BH.A,Biglari Holdings Inc.,consumer-discretionary,restaurants
BH,Biglari Holdings Inc.,consumer-discretionary,restaurants
BJRI,"BJ's Restaurants, Inc.",consumer-discretionary,restaurants
SG,"Sweetgreen, Inc.",consumer-discretionary,restaurants
HDL,Super Hi International Holding Ltd.,consumer-discretionary,restaurants
CBRL,"Cracker Barrel Old Country Store, Inc.",consumer-discretionary,restaurants
CNNE,"Cannae Holdings, Inc.",consumer-discretionary,restaurants
FWRG,"First Watch Restaurant Group, Inc.",consumer-discretionary,restaurants
BLMN,"Bloomin' Brands, Inc.",consumer-discretionary,restaurants
KRUS,"Kura Sushi USA, Inc.",consumer-discretionary,restaurants
LOCO,"El Pollo Loco Holdings, Inc.",consumer-discretionary,restaurants
NATH,"Nathan's Famous, Inc.",consumer-discretionary,restaurants
DIN,"Dine Brands Global, Inc.",consumer-discretionary,restaurants
BRCB,"Black Rock Coffee Bar, Inc.",consumer-discretionary,restaurants
PTLO,Portillo's Inc.,consumer-discretionary,restaurants
JACK,Jack in the Box Inc.,consumer-discretionary,restaurants
VENU,Venu Holding Corporation,consumer-discretionary,restaurants
RICK,"RCI Hospitality Holdings, Inc.",consumer-discretionary,restaurants
HCHL,Happy City Holdings Limited,consumer-discretionary,restaurants
MB,MasterBeef Group,consumer-discretionary,restaurants
RRGB,"Red Robin Gourmet Burgers, Inc.",consumer-discretionary,restaurants
NDLS,Noodles & Company,consumer-discretionary,restaurants
GENK,"GEN Restaurant Group, Inc.",consumer-discretionary,restaurants
BDL,"Flanigan's Enterprises, Inc.",consumer-discretionary,restaurants
THCH,TH International Limited,consumer-discretionary,restaurants
STKS,"The ONE Group Hospitality, Inc.",consumer-discretionary,restaurants
RAVE,"Rave Restaurant Group, Inc.",consumer-discretionary,restaurants
ARKR,Ark Restaurants Corp.,consumer-discretionary,restaurants
GTIM,Good Times Restaurants Inc.,consumer-discretionary,restaurants
REBN,"Reborn Coffee, Inc.",consumer-discretionary,restaurants
PETZ,"TDH Holdings, Inc.",consumer-discretionary,restaurants
CCHH,CCH Holdings Ltd,consumer-discretionary,restaurants
BTBD,"BT Brands, Inc.",consumer-discretionary,restaurants
VSTD,Vestand Inc.,consumer-discretionary,restaurants
CHSN,Chanson International Holding,consumer-discretionary,restaurants
CASY,"Casey's General Stores, Inc.",consumer-discretionary,specialty-retail
WSM,"Williams-Sonoma, Inc.",consumer-discretionary,specialty-retail
ULTA,"Ulta Beauty, Inc.",consumer-discretionary,specialty-retail
DKS,"DICK'S Sporting Goods, Inc.",consumer-discretionary,specialty-retail
TSCO,Tractor Supply Company,consumer-discretionary,specialty-retail
