ticker,company_name,sector_name,sub_sector_name
COP,ConocoPhillips,energy,oil-gas-e-and-p
CNQ,Canadian Natural Resources Limited,energy,oil-gas-e-and-p
EOG,"EOG Resources, Inc.",energy,oil-gas-e-and-p
OXY,Occidental Petroleum Corporation,energy,oil-gas-e-and-p
FANG,"Diamondback Energy, Inc.",energy,oil-gas-e-and-p
DVN,Devon Energy Corporation,energy,oil-gas-e-and-p
WDS,Woodside Energy Group Ltd,energy,oil-gas-e-and-p
EQT,EQT Corporation,energy,oil-gas-e-and-p
TPL,Texas Pacific Land Corporation,energy,oil-gas-e-and-p
EXE,Expand Energy Corporation,energy,oil-gas-e-and-p
PR,Permian Resources Corporation,energy,oil-gas-e-and-p
OVV,Ovintiv Inc.,energy,oil-gas-e-and-p
APA,APA Corporation,energy,oil-gas-e-and-p
AR,Antero Resources Corporation,energy,oil-gas-e-and-p
RRC,Range Resources Corporation,energy,oil-gas-e-and-p
VIST,"Vista Energy, S.A.B. de C.V.",energy,oil-gas-e-and-p
SM,SM Energy Company,energy,oil-gas-e-and-p
CHRD,Chord Energy Corporation,energy,oil-gas-e-and-p
MTDR,Matador Resources Company,energy,oil-gas-e-and-p
MUR,Murphy Oil Corporation,energy,oil-gas-e-and-p
CRC,California Resources Corporation,energy,oil-gas-e-and-p
MGY,Magnolia Oil & Gas Corporation,energy,oil-gas-e-and-p
CNX,CNX Resources Corporation,energy,oil-gas-e-and-p
CRK,"Comstock Resources, Inc.",energy,oil-gas-e-and-p
CRGY,Crescent Energy Company,energy,oil-gas-e-and-p
BTE,Baytex Energy Corp.,energy,oil-gas-e-and-p
GPOR,Gulfport Energy Corporation,energy,oil-gas-e-and-p
BSM,"Black Stone Minerals, L.P.",energy,oil-gas-e-and-p
BKV,BKV Corporation,energy,oil-gas-e-and-p
TALO,Talos Energy Inc.,energy,oil-gas-e-and-p
MNR,Mach Natural Resources LP,energy,oil-gas-e-and-p
NOG,"Northern Oil and Gas, Inc.",energy,oil-gas-e-and-p
VET,Vermilion Energy Inc.,energy,oil-gas-e-and-p
KOS,Kosmos Energy Ltd.,energy,oil-gas-e-and-p
KRP,"Kimbell Royalty Partners, LP",energy,oil-gas-e-and-p
DMLP,"Dorchester Minerals, L.P.",energy,oil-gas-e-and-p
TBN,Tamboran Resources Corporation,energy,oil-gas-e-and-p
HPK,"HighPeak Energy, Inc.",energy,oil-gas-e-and-p
INR,"Infinity Natural Resources, Inc.",energy,oil-gas-e-and-p
REPX,"Riley Exploration Permian, Inc.",energy,oil-gas-e-and-p
TXO,"TXO Partners, L.P.",energy,oil-gas-e-and-p
OBE,Obsidian Energy Ltd.,energy,oil-gas-e-and-p
VTS,"Vitesse Energy, Inc.",energy,oil-gas-e-and-p
GFR,Greenfire Resources Ltd.,energy,oil-gas-e-and-p
GPRK,GeoPark Limited,energy,oil-gas-e-and-p
GRNT,"Granite Ridge Resources, Inc.",energy,oil-gas-e-and-p
EGY,"VAALCO Energy, Inc.",energy,oil-gas-e-and-p
WTI,"W&T Offshore, Inc.",energy,oil-gas-e-and-p
SD,"SandRidge Energy, Inc.",energy,oil-gas-e-and-p
FTW,Presidio Production Company,energy,oil-gas-e-and-p
REI,"Ring Energy, Inc.",energy,oil-gas-e-and-p
PNRG,PrimeEnergy Resources Corporation,energy,oil-gas-e-and-p
GTE,Gran Tierra Energy Inc.,energy,oil-gas-e-and-p
ANNA,"AleAnna, Inc.",energy,oil-gas-e-and-p
KGEI,Kolibri Global Energy Inc.,energy,oil-gas-e-and-p
AMPY,Amplify Energy Corp.,energy,oil-gas-e-and-p
PED,PEDEVCO Corp.,energy,oil-gas-e-and-p
EPSN,Epsilon Energy Ltd.,energy,oil-gas-e-and-p
SJT,San Juan Basin Royalty Trust,energy,oil-gas-e-and-p
EPM,Evolution Petroleum Corporation,energy,oil-gas-e-and-p
GLND,Greenland Energy Company,energy,oil-gas-e-and-p
EP,Empire Petroleum Corporation,energy,oil-gas-e-and-p
PROP,Prairie Operating Co.,energy,oil-gas-e-and-p
NRT,North European Oil Royalty Trust,energy,oil-gas-e-and-p
CRT,Cross Timbers Royalty Trust,energy,oil-gas-e-and-p
PVL,Permianville Royalty Trust,energy,oil-gas-e-and-p
USEG,U.S. Energy Corp.,energy,oil-gas-e-and-p
VOC,VOC Energy Trust,energy,oil-gas-e-and-p
INDO,Indonesia Energy Corporation Limited,energy,oil-gas-e-and-p
EONR,EON Resources Inc.,energy,oil-gas-e-and-p
BATL,Battalion Oil Corporation,energy,oil-gas-e-and-p
PRT,PermRock Royalty Trust,energy,oil-gas-e-and-p
CKX,"CKX Lands, Inc.",energy,oil-gas-e-and-p
MXC,Mexco Energy Corporation,energy,oil-gas-e-and-p
BRN,"Barnwell Industries, Inc.",energy,oil-gas-e-and-p
TPET,Trio Petroleum Corp.,energy,oil-gas-e-and-p
MTR,Mesa Royalty Trust,energy,oil-gas-e-and-p
ENB,Enbridge Inc.,energy,oil-gas-midstream
WMB,"The Williams Companies, Inc.",energy,oil-gas-midstream
EPD,Enterprise Products Partners L.P.,energy,oil-gas-midstream
TRP,TC Energy Corporation,energy,oil-gas-midstream
KMI,"Kinder Morgan, Inc.",energy,oil-gas-midstream
ET,Energy Transfer LP,energy,oil-gas-midstream
MPLX,MPLX LP,energy,oil-gas-midstream
TRGP,Targa Resources Corp.,energy,oil-gas-midstream
OKE,"ONEOK, Inc.",energy,oil-gas-midstream
LNG,"Cheniere Energy, Inc.",energy,oil-gas-midstream
VG,"Venture Global, Inc.",energy,oil-gas-midstream
CQP,"Cheniere Energy Partners, L.P.",energy,oil-gas-midstream
PBA,Pembina Pipeline Corporation,energy,oil-gas-midstream
WES,"Western Midstream Partners, LP",energy,oil-gas-midstream
VNOM,"Viper Energy, Inc.",energy,oil-gas-midstream
PAA,"Plains All American Pipeline, L.P.",energy,oil-gas-midstream
DTM,"DT Midstream, Inc.",energy,oil-gas-midstream
AM,Antero Midstream Corporation,energy,oil-gas-midstream
HESM,Hess Midstream LP,energy,oil-gas-midstream
FRO,Frontline plc,energy,oil-gas-midstream
SOBO,South Bow Corporation,energy,oil-gas-midstream
KNTK,Kinetik Holdings Inc.,energy,oil-gas-midstream
PAGP,"Plains GP Holdings, L.P.",energy,oil-gas-midstream
GLNG,Golar LNG Limited,energy,oil-gas-midstream
CMBT,Cmb.Tech NV,energy,oil-gas-midstream
INSW,"International Seaways, Inc.",energy,oil-gas-midstream
EE,"Excelerate Energy, Inc.",energy,oil-gas-midstream
STNG,Scorpio Tankers Inc.,energy,oil-gas-midstream
SUNC,SunocoCorp LLC,energy,oil-gas-midstream
BWLP,BW LPG Limited,energy,oil-gas-midstream
TRMD,TORM plc,energy,oil-gas-midstream
DHT,"DHT Holdings, Inc.",energy,oil-gas-midstream
TNK,Teekay Tankers Ltd.,energy,oil-gas-midstream
GEL,"Genesis Energy, L.P.",energy,oil-gas-midstream
NGL,NGL Energy Partners LP,energy,oil-gas-midstream
LPG,Dorian LPG Ltd.,energy,oil-gas-midstream
GLP,Global Partners LP,energy,oil-gas-midstream
FLNG,FLEX LNG Ltd.,energy,oil-gas-midstream
NVGS,Navigator Holdings Ltd.,energy,oil-gas-midstream
PBT,Permian Basin Royalty Trust,energy,oil-gas-midstream
NAT,Nordic American Tankers Limited,energy,oil-gas-midstream
SBR,Sabine Royalty Trust,energy,oil-gas-midstream
TEN,Tsakos Energy Navigation Limited,energy,oil-gas-midstream
TK,Teekay Corporation Ltd.,energy,oil-gas-midstream
SMC,Summit Midstream Corporation,energy,oil-gas-midstream
KNOP,KNOT Offshore Partners LP,energy,oil-gas-midstream
IMPP,Imperial Petroleum Inc.,energy,oil-gas-midstream
NFE,New Fortress Energy Inc.,energy,oil-gas-midstream
DLNG,Dynagas LNG Partners LP,energy,oil-gas-midstream
TORO,Toro Corp.,energy,oil-gas-midstream
MMLP,Martin Midstream Partners L.P.,energy,oil-gas-midstream
PXS,Pyxis Tankers Inc.,energy,oil-gas-midstream
TMDE,TMD Energy Limited,energy,oil-gas-midstream
BANL,CBL International Limited,energy,oil-gas-midstream
MARPS,Marine Petroleum Trust,energy,oil-gas-midstream
RBNE,Robin Energy Ltd.,energy,oil-gas-midstream
TOPS,Top Ships Inc.,energy,oil-gas-midstream
SLB,SLB N.V.,energy,oil-gas-equipment-and-services
BKR,Baker Hughes Company,energy,oil-gas-equipment-and-services
HAL,Halliburton Company,energy,oil-gas-equipment-and-services
TS,Tenaris S.A.,energy,oil-gas-equipment-and-services
FTI,TechnipFMC plc,energy,oil-gas-equipment-and-services
NOV,NOV Inc.,energy,oil-gas-equipment-and-services
WFRD,Weatherford International plc,energy,oil-gas-equipment-and-services
KGS,"Kodiak Gas Services, Inc.",energy,oil-gas-equipment-and-services
AROC,"Archrock, Inc.",energy,oil-gas-equipment-and-services
LB,LandBridge Company LLC,energy,oil-gas-equipment-and-services
SEI,"Solaris Energy Infrastructure, Inc.",energy,oil-gas-equipment-and-services
LBRT,Liberty Energy Inc.,energy,oil-gas-equipment-and-services
WHD,"Cactus, Inc.",energy,oil-gas-equipment-and-services
USAC,"USA Compression Partners, LP",energy,oil-gas-equipment-and-services
OII,"Oceaneering International, Inc.",energy,oil-gas-equipment-and-services
WBI,WaterBridge Infrastructure LLC,energy,oil-gas-equipment-and-services
TDW,Tidewater Inc.,energy,oil-gas-equipment-and-services
EFXT,Enerflex Ltd.,energy,oil-gas-equipment-and-services
EROK,"EagleRock Land, LLC",energy,oil-gas-equipment-and-services
WTTR,"Select Water Solutions, Inc.",energy,oil-gas-equipment-and-services
NESR,National Energy Services Reunited Corp.,energy,oil-gas-equipment-and-services
NEXT,NextDecade Corporation,energy,oil-gas-equipment-and-services
FLOC,Flowco Holdings Inc.,energy,oil-gas-equipment-and-services
AESI,Atlas Energy Solutions Inc.,energy,oil-gas-equipment-and-services
INVX,"Innovex International, Inc.",energy,oil-gas-equipment-and-services
PUMP,ProPetro Holding Corp.,energy,oil-gas-equipment-and-services
XPRO,Expro Group Holdings N.V.,energy,oil-gas-equipment-and-services
RES,"RPC, Inc.",energy,oil-gas-equipment-and-services
HLX,"Helix Energy Solutions Group, Inc.",energy,oil-gas-equipment-and-services
ACDC,ProFrac Holding Corp.,energy,oil-gas-equipment-and-services
