ticker,company_name,sector_name,sub_sector_name
GE,GE Aerospace,industrials,aerospace-and-defense
RTX,RTX Corporation,industrials,aerospace-and-defense
BA,The Boeing Company,industrials,aerospace-and-defense
LMT,Lockheed Martin Corporation,industrials,aerospace-and-defense
HWM,Howmet Aerospace Inc.,industrials,aerospace-and-defense
GD,General Dynamics Corporation,industrials,aerospace-and-defense
NOC,Northrop Grumman Corporation,industrials,aerospace-and-defense
TDG,TransDigm Group Incorporated,industrials,aerospace-and-defense
RKLB,Rocket Lab Corporation,industrials,aerospace-and-defense
LHX,"L3Harris Technologies, Inc.",industrials,aerospace-and-defense
HEI,HEICO Corporation,industrials,aerospace-and-defense
AXON,"Axon Enterprise, Inc.",industrials,aerospace-and-defense
HEI.A,HEICO Corporation,industrials,aerospace-and-defense
ESLT,Elbit Systems Ltd.,industrials,aerospace-and-defense
CW,Curtiss-Wright Corporation,industrials,aerospace-and-defense
FTAI,FTAI Aviation Ltd.,industrials,aerospace-and-defense
WWD,"Woodward, Inc.",industrials,aerospace-and-defense
BWXT,"BWX Technologies, Inc.",industrials,aerospace-and-defense
TXT,Textron Inc.,industrials,aerospace-and-defense
DRS,"Leonardo DRS, Inc.",industrials,aerospace-and-defense
MOG.A,Moog Inc.,industrials,aerospace-and-defense
HII,"Huntington Ingalls Industries, Inc.",industrials,aerospace-and-defense
MOG.B,Moog Inc.,industrials,aerospace-and-defense
PL,Planet Labs PBC,industrials,aerospace-and-defense
KTOS,"Kratos Defense & Security Solutions, Inc.",industrials,aerospace-and-defense
EMBJ,Embraer S.A.,industrials,aerospace-and-defense
AVAV,"AeroVironment, Inc.",industrials,aerospace-and-defense
SARO,"StandardAero, Inc.",industrials,aerospace-and-defense
CAE,CAE Inc.,industrials,aerospace-and-defense
HXL,Hexcel Corporation,industrials,aerospace-and-defense
MRCY,"Mercury Systems, Inc.",industrials,aerospace-and-defense
KRMN,Karman Holdings Inc.,industrials,aerospace-and-defense
LUNR,"Intuitive Machines, Inc.",industrials,aerospace-and-defense
LOAR,Loar Holdings Inc.,industrials,aerospace-and-defense
FLY,Firefly Aerospace Inc.,industrials,aerospace-and-defense
MDA,MDA Space Ltd.,industrials,aerospace-and-defense
VSEC,VSE Corporation,industrials,aerospace-and-defense
AIR,AAR Corp.,industrials,aerospace-and-defense
ACHR,Archer Aviation Inc.,industrials,aerospace-and-defense
BETA,"BETA Technologies, Inc.",industrials,aerospace-and-defense
YSS,"York Space Systems, Inc.",industrials,aerospace-and-defense
RDW,Redwire Corporation,industrials,aerospace-and-defense
ATRO,Astronics Corporation,industrials,aerospace-and-defense
AADX,"Applied Aerospace & Defense, Inc.",industrials,aerospace-and-defense
VVX,"V2X, Inc.",industrials,aerospace-and-defense
AVEX,AEVEX Corp.,industrials,aerospace-and-defense
VOYG,"Voyager Technologies, Inc.",industrials,aerospace-and-defense
HAWK,"HawkEye 360, Inc.",industrials,aerospace-and-defense
DCO,Ducommun Incorporated,industrials,aerospace-and-defense
RCAT,"Red Cat Holdings, Inc.",industrials,aerospace-and-defense
CDRE,"Cadre Holdings, Inc.",industrials,aerospace-and-defense
SATL,Satellogic Inc.,industrials,aerospace-and-defense
EVEX,"Eve Holding, Inc.",industrials,aerospace-and-defense
NPK,"National Presto Industries, Inc.",industrials,aerospace-and-defense
MRLN,"Merlin, Inc.",industrials,aerospace-and-defense
PKE,Park Aerospace Corp.,industrials,aerospace-and-defense
SWMR,"Swarmer, Inc",industrials,aerospace-and-defense
SWBI,"Smith & Wesson Brands, Inc.",industrials,aerospace-and-defense
RGR,"Sturm, Ruger & Company, Inc.",industrials,aerospace-and-defense
EH,EHang Holdings Limited,industrials,aerospace-and-defense
TATT,TAT Technologies Ltd.,industrials,aerospace-and-defense
ELMT,The Elmet Group Co.,industrials,aerospace-and-defense
SPCE,"Virgin Galactic Holdings, Inc.",industrials,aerospace-and-defense
